Reporting unit,Reporting unit type,State,Peer group,Year,Triage category,Number of presentations,,Percentage of patients seen on time
National,National,NAT,,2019–20,Urgent,"3,049,239",,67%
National,National,NAT,,2020–21,Urgent,"3,181,413",,63%
National,National,NAT,,2021–22,Urgent,"3,233,118",,58%
National,National,NAT,,2022–23,Urgent,"3,392,030",,58%
National,National,NAT,,2023–24,Urgent,"3,472,466",,61%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2011–12,Emergency,"2,117",,77%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2012–13,Emergency,"2,045",,84%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2013–14,Emergency,"2,182",,85%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2014–15,Emergency,"2,435",,81%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2015–16,Emergency,"3,280",,80%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2016–17,Emergency,"3,389",,83%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2017–18,Emergency,"3,416",,81%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2018–19,Emergency,"3,930",,80%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2019–20,Emergency,"4,199",,71%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2020–21,Emergency,"4,375",,76%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2021–22,Emergency,"5,087",,66%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2022–23,Emergency,"5,972",,61%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2023–24,Emergency,"6,899",,63%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2011–12,Non-Urgent,"2,961",,89%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2012–13,Non-Urgent,"2,112",,93%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2013–14,Non-Urgent,"1,956",,91%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2014–15,Non-Urgent,"1,584",,92%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2015–16,Non-Urgent,"1,343",,95%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2016–17,Non-Urgent,"1,474",,93%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2017–18,Non-Urgent,"1,667",,95%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2018–19,Non-Urgent,"2,102",,93%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2019–20,Non-Urgent,"2,027",,94%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2020–21,Non-Urgent,"2,121",,94%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2021–22,Non-Urgent,"2,050",,97%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2022–23,Non-Urgent,"1,864",,96%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2023–24,Non-Urgent,"2,036",,96%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2011–12,Resuscitation,323,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2012–13,Resuscitation,208,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2013–14,Resuscitation,188,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2014–15,Resuscitation,237,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2015–16,Resuscitation,311,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2016–17,Resuscitation,311,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2017–18,Resuscitation,266,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2018–19,Resuscitation,240,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2019–20,Resuscitation,183,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2020–21,Resuscitation,182,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2021–22,Resuscitation,179,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2022–23,Resuscitation,193,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2023–24,Resuscitation,203,,100%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2011–12,Semi-Urgent,"15,378",,75%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2012–13,Semi-Urgent,"15,126",,77%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2013–14,Semi-Urgent,"15,090",,77%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2014–15,Semi-Urgent,"14,676",,76%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2015–16,Semi-Urgent,"14,200",,73%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2016–17,Semi-Urgent,"14,136",,69%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2017–18,Semi-Urgent,"14,968",,70%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2018–19,Semi-Urgent,"15,239",,68%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2019–20,Semi-Urgent,"14,416",,67%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2020–21,Semi-Urgent,"14,637",,73%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2021–22,Semi-Urgent,"15,061",,75%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2022–23,Semi-Urgent,"15,160",,74%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2023–24,Semi-Urgent,"14,200",,74%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2011–12,Urgent,"9,780",,77%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2012–13,Urgent,"10,261",,73%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2013–14,Urgent,"10,547",,72%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2014–15,Urgent,"11,815",,72%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2015–16,Urgent,"12,336",,65%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2016–17,Urgent,"12,216",,54%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2017–18,Urgent,"12,306",,58%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2018–19,Urgent,"11,763",,58%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2019–20,Urgent,"12,458",,53%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2020–21,Urgent,"12,482",,60%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2021–22,Urgent,"13,484",,56%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2022–23,Urgent,"14,318",,46%
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2023–24,Urgent,"15,049",,49%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2011–12,Emergency,771,,81%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2012–13,Emergency,950,,81%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2013–14,Emergency,910,,83%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2014–15,Emergency,883,,80%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2015–16,Emergency,874,,77%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2016–17,Emergency,948,,74%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2017–18,Emergency,924,,68%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2018–19,Emergency,803,,56%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2019–20,Emergency,826,,45%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2020–21,Emergency,"1,123",,64%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2021–22,Emergency,"1,356",,80%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2022–23,Emergency,"1,383",,66%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2023–24,Emergency,"1,533",,77%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2011–12,Non-Urgent,"3,591",,92%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2012–13,Non-Urgent,"2,078",,93%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2013–14,Non-Urgent,"1,591",,96%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2014–15,Non-Urgent,"1,195",,97%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2015–16,Non-Urgent,"1,192",,94%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2016–17,Non-Urgent,"1,017",,94%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2017–18,Non-Urgent,"1,215",,93%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2018–19,Non-Urgent,"1,463",,90%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2019–20,Non-Urgent,"1,546",,84%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2020–21,Non-Urgent,"1,853",,88%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2021–22,Non-Urgent,"1,266",,84%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2022–23,Non-Urgent,"1,974",,83%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2023–24,Non-Urgent,"2,458",,83%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2011–12,Resuscitation,25,,100%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2012–13,Resuscitation,47,,100%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2013–14,Resuscitation,30,,100%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2014–15,Resuscitation,35,,100%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2015–16,Resuscitation,36,,100%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2016–17,Resuscitation,42,,100%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2017–18,Resuscitation,30,,100%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2018–19,Resuscitation,42,,100%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2019–20,Resuscitation,39,,100%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2020–21,Resuscitation,43,,100%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2021–22,Resuscitation,40,,100%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2022–23,Resuscitation,36,,100%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2023–24,Resuscitation,57,,100%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2011–12,Semi-Urgent,"6,599",,81%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2012–13,Semi-Urgent,"7,184",,80%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2013–14,Semi-Urgent,"8,031",,85%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2014–15,Semi-Urgent,"9,052",,81%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2015–16,Semi-Urgent,"8,623",,78%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2016–17,Semi-Urgent,"8,321",,71%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2017–18,Semi-Urgent,"8,780",,74%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2018–19,Semi-Urgent,"9,350",,70%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2019–20,Semi-Urgent,"8,557",,59%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2020–21,Semi-Urgent,"8,903",,66%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2021–22,Semi-Urgent,"9,273",,55%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2022–23,Semi-Urgent,"10,157",,57%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2023–24,Semi-Urgent,"10,888",,54%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2011–12,Urgent,"2,796",,79%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2012–13,Urgent,"3,604",,79%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2013–14,Urgent,"3,705",,82%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2014–15,Urgent,"3,905",,79%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2015–16,Urgent,"4,459",,72%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2016–17,Urgent,"4,340",,66%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2017–18,Urgent,"3,875",,65%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2018–19,Urgent,"3,593",,62%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2019–20,Urgent,"3,394",,52%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2020–21,Urgent,"3,545",,63%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2021–22,Urgent,"3,438",,63%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2022–23,Urgent,"3,335",,57%
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2023–24,Urgent,"3,753",,61%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2011–12,Emergency,"1,594",,80%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2012–13,Emergency,"1,843",,80%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2013–14,Emergency,"2,127",,87%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2014–15,Emergency,"2,957",,83%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2015–16,Emergency,"3,487",,77%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2016–17,Emergency,"3,981",,79%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2017–18,Emergency,"4,018",,84%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2018–19,Emergency,"3,847",,74%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2019–20,Emergency,"4,343",,78%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2020–21,Emergency,"4,964",,81%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2021–22,Emergency,"5,167",,79%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2022–23,Emergency,"4,817",,81%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2023–24,Emergency,"4,868",,85%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2011–12,Non-Urgent,"1,869",,NP†
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2012–13,Non-Urgent,"1,839",,NP†
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2013–14,Non-Urgent,"2,082",,NP†
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2014–15,Non-Urgent,"1,702",,95%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2015–16,Non-Urgent,"1,390",,91%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2016–17,Non-Urgent,"1,472",,91%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2017–18,Non-Urgent,"1,773",,91%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2018–19,Non-Urgent,"1,496",,87%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2019–20,Non-Urgent,"1,466",,95%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2020–21,Non-Urgent,"1,429",,97%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2022–23,Non-Urgent,"2,457",,96%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2023–24,Non-Urgent,"2,897",,93%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2011–12,Resuscitation,61,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2012–13,Resuscitation,72,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2013–14,Resuscitation,69,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2014–15,Resuscitation,82,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2015–16,Resuscitation,116,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2016–17,Resuscitation,116,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2017–18,Resuscitation,111,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2018–19,Resuscitation,103,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2019–20,Resuscitation,192,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2020–21,Resuscitation,173,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2021–22,Resuscitation,122,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2022–23,Resuscitation,103,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2023–24,Resuscitation,114,,100%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2011–12,Semi-Urgent,"10,687",,67%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2012–13,Semi-Urgent,"10,521",,69%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2013–14,Semi-Urgent,"10,797",,70%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2014–15,Semi-Urgent,"10,526",,76%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2015–16,Semi-Urgent,"9,702",,74%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2016–17,Semi-Urgent,"10,254",,73%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2017–18,Semi-Urgent,"10,317",,71%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2018–19,Semi-Urgent,"10,897",,63%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2019–20,Semi-Urgent,"9,919",,72%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2020–21,Semi-Urgent,"7,846",,85%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2021–22,Semi-Urgent,"8,257",,79%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2022–23,Semi-Urgent,"11,203",,81%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2023–24,Semi-Urgent,"12,013",,80%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2011–12,Urgent,"8,082",,72%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2012–13,Urgent,"8,675",,71%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2013–14,Urgent,"8,302",,76%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2014–15,Urgent,"8,450",,80%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2015–16,Urgent,"9,043",,75%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2016–17,Urgent,"8,895",,75%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2017–18,Urgent,"9,603",,73%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2018–19,Urgent,"10,026",,63%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2019–20,Urgent,"10,435",,69%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2020–21,Urgent,"13,812",,80%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2021–22,Urgent,"11,796",,72%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2022–23,Urgent,"12,004",,74%
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2023–24,Urgent,"12,486",,77%
Ballina District Hospital,Hospital,NSW,Small hospitals,2011–12,Emergency,"1,092",,50%
Ballina District Hospital,Hospital,NSW,Small hospitals,2012–13,Emergency,"1,156",,85%
Ballina District Hospital,Hospital,NSW,Small hospitals,2013–14,Emergency,"1,180",,87%
Ballina District Hospital,Hospital,NSW,Small hospitals,2014–15,Emergency,"1,198",,85%
Ballina District Hospital,Hospital,NSW,Small hospitals,2015–16,Emergency,"1,204",,87%
Ballina District Hospital,Hospital,NSW,Small hospitals,2016–17,Emergency,"1,378",,92%
Ballina District Hospital,Hospital,NSW,Small hospitals,2017–18,Emergency,"1,320",,85%
Ballina District Hospital,Hospital,NSW,Small hospitals,2018–19,Emergency,"1,352",,84%
Ballina District Hospital,Hospital,NSW,Small hospitals,2019–20,Emergency,"1,517",,77%
Ballina District Hospital,Hospital,NSW,Small hospitals,2020–21,Emergency,"1,563",,77%
Ballina District Hospital,Hospital,NSW,Small hospitals,2021–22,Emergency,"1,566",,75%
Ballina District Hospital,Hospital,NSW,Small hospitals,2022–23,Emergency,"1,753",,73%
Ballina District Hospital,Hospital,NSW,Small hospitals,2023–24,Emergency,"1,746",,68%
Ballina District Hospital,Hospital,NSW,Small hospitals,2011–12,Non-Urgent,"2,178",,NP†
Ballina District Hospital,Hospital,NSW,Small hospitals,2012–13,Non-Urgent,"1,435",,NP†
Ballina District Hospital,Hospital,NSW,Small hospitals,2013–14,Non-Urgent,"1,508",,NP†
Ballina District Hospital,Hospital,NSW,Small hospitals,2014–15,Non-Urgent,"1,338",,NP†
Ballina District Hospital,Hospital,NSW,Small hospitals,2015–16,Non-Urgent,"1,184",,NP†
Ballina District Hospital,Hospital,NSW,Small hospitals,2016–17,Non-Urgent,"1,069",,NP†
Ballina District Hospital,Hospital,NSW,Small hospitals,2017–18,Non-Urgent,"1,174",,NP†
Ballina District Hospital,Hospital,NSW,Small hospitals,2018–19,Non-Urgent,"1,236",,95%
Ballina District Hospital,Hospital,NSW,Small hospitals,2019–20,Non-Urgent,"1,143",,93%
Ballina District Hospital,Hospital,NSW,Small hospitals,2020–21,Non-Urgent,"1,213",,93%
Ballina District Hospital,Hospital,NSW,Small hospitals,2021–22,Non-Urgent,"1,323",,94%
Ballina District Hospital,Hospital,NSW,Small hospitals,2022–23,Non-Urgent,843,,94%
Ballina District Hospital,Hospital,NSW,Small hospitals,2023–24,Non-Urgent,940,,90%
Ballina District Hospital,Hospital,NSW,Small hospitals,2011–12,Resuscitation,53,,100%
Ballina District Hospital,Hospital,NSW,Small hospitals,2012–13,Resuscitation,49,,100%
Ballina District Hospital,Hospital,NSW,Small hospitals,2013–14,Resuscitation,63,,100%
Ballina District Hospital,Hospital,NSW,Small hospitals,2014–15,Resuscitation,53,,100%
Ballina District Hospital,Hospital,NSW,Small hospitals,2015–16,Resuscitation,63,,100%
Ballina District Hospital,Hospital,NSW,Small hospitals,2016–17,Resuscitation,55,,100%
Ballina District Hospital,Hospital,NSW,Small hospitals,2017–18,Resuscitation,34,,100%
Ballina District Hospital,Hospital,NSW,Small hospitals,2018–19,Resuscitation,42,,100%
Ballina District Hospital,Hospital,NSW,Small hospitals,2019–20,Resuscitation,36,,100%
Ballina District Hospital,Hospital,NSW,Small hospitals,2020–21,Resuscitation,24,,100%
Ballina District Hospital,Hospital,NSW,Small hospitals,2021–22,Resuscitation,35,,100%
Ballina District Hospital,Hospital,NSW,Small hospitals,2022–23,Resuscitation,24,,100%
Ballina District Hospital,Hospital,NSW,Small hospitals,2023–24,Resuscitation,38,,100%
Ballina District Hospital,Hospital,NSW,Small hospitals,2011–12,Semi-Urgent,"6,404",,67%
