HEP Code,HEP Name,Year,State,Cohort,Program,Amount
3035,Monash University,2025,VIC,Go8,RTP,"135,257,526 "
1034,Murdoch University,2025,WA,IRU,RSP,"8,192,152 "
1034,Murdoch University,2025,WA,IRU,RTP,"12,683,975 "
3042,Queensland University of Technology,2025,QLD,non-aligned,RSP,"22,714,866 "
3042,Queensland University of Technology,2025,QLD,non-aligned,RTP,"33,086,088 "
3034,Royal Melbourne Institute of Technology,2025,VIC,ATN,RSP,"18,558,554 "
3034,Royal Melbourne Institute of Technology,2025,VIC,ATN,RTP,"32,798,728 "
3038,Southern Cross University,2025,NSW,RUN,RSP,"4,986,088 "
3038,Southern Cross University,2025,NSW,RUN,RTP,"5,075,362 "
2177,Swinburne University of Technology,2025,VIC,non-aligned,RSP,"8,840,481 "
2177,Swinburne University of Technology,2025,VIC,non-aligned,RTP,"19,246,854 "
3033,The Australian National University,2025,ACT,Go8,RSP,"72,303,211 "
3033,The Australian National University,2025,ACT,Go8,RTP,"62,363,474 "
3010,The University of Adelaide,2025,SA,Go8,RSP,"46,230,925 "
3010,The University of Adelaide,2025,SA,Go8,RTP,"51,817,206 "
3036,The University of Melbourne,2025,VIC,Go8,RSP,"126,983,898 "
3036,The University of Melbourne,2025,VIC,Go8,RTP,"121,170,874 "
3044,The University of Notre Dame Australia,2025,WA,non-aligned,RSP,"975,242 "
3044,The University of Notre Dame Australia,2025,WA,non-aligned,RTP,"1,727,823 "
3019,The University of Queensland,2025,QLD,Go8,RSP,"91,376,822 "
3019,The University of Queensland,2025,QLD,Go8,RTP,"103,800,648 "
3040,The University of Sydney,2025,NSW,Go8,RSP,"95,336,697 "
3040,The University of Sydney,2025,NSW,Go8,RTP,"104,725,797 "
1055,The University of Western Australia,2025,WA,Go8,RSP,"45,281,049 "
1055,The University of Western Australia,2025,WA,Go8,RTP,"47,625,285 "
4449,Torrens University Australia,2025,SA,non-aligned,RSP,"297,270 "
4449,Torrens University Australia,2025,SA,non-aligned,RTP,"381,745 "
2241,University of Canberra,2025,ACT,IRU,RSP,"4,177,614 "
2241,University of Canberra,2025,ACT,IRU,RTP,"5,405,457 "
4331,University of Divinity,2025,VIC,non-aligned,RSP,"461,026 "
4331,University of Divinity,2025,VIC,non-aligned,RTP,"588,054 "
3039,University of New England,2025,NSW,RUN,RSP,"9,059,916 "
3039,University of New England,2025,NSW,RUN,RTP,"10,316,412 "
3013,University of New South Wales,2025,NSW,Go8,RSP,"104,074,021 "
3013,University of New South Wales,2025,NSW,Go8,RTP,"109,174,410 "
3014,University of Newcastle,2025,NSW,ATN,RSP,"25,342,886 "
3014,University of Newcastle,2025,NSW,ATN,RTP,"29,122,866 "
3027,University of South Australia,2025,SA,ATN,RSP,"15,888,495 "
3027,University of South Australia,2025,SA,ATN,RTP,"17,109,544 "
2201,University of Southern Queensland,2025,QLD,RUN,RSP,"6,502,921 "
2201,University of Southern Queensland,2025,QLD,RUN,RTP,"10,347,440 "
3045,University of Tasmania,2025,TAS,non-aligned,RSP,"24,950,928 "
3045,University of Tasmania,2025,TAS,non-aligned,RTP,"28,627,334 "
3016,University of Technology Sydney,2025,NSW,ATN,RSP,"18,500,818 "
3016,University of Technology Sydney,2025,NSW,ATN,RTP,"29,772,808 "
3043,University of the Sunshine Coast,2025,QLD,RUN,RSP,"6,328,710 "
3043,University of the Sunshine Coast,2025,QLD,RUN,RTP,"7,120,267 "
1058,University of Wollongong,2025,NSW,non-aligned,RSP,"16,803,605 "
1058,University of Wollongong,2025,NSW,non-aligned,RTP,"25,039,111 "
3007,Victoria University,2025,VIC,non-aligned,RSP,"4,280,600 "
3007,Victoria University,2025,VIC,non-aligned,RTP,"5,393,811 "
3004,Western Sydney University,2025,NSW,IRU,RSP,"9,158,067 "
3004,Western Sydney University,2025,NSW,IRU,RTP,"16,317,306 "
3006,Australian Catholic University,2024,OTHER,non-aligned,RSP,"1,658,508 "
3006,Australian Catholic University,2024,OTHER,non-aligned,RTP,"2,700,110 "
2252,Avondale University ,2024,NSW,non-aligned,RSP,"34,115 "
2252,Avondale University ,2024,NSW,non-aligned,RTP,"95,094 "
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,RSP,"273,497 "
2246,Batchelor Institute of Indigenous Tertiary Education,2024,NT,non-aligned,RTP,"181,933 "
3003,Bond University ,2024,QLD,non-aligned,RSP,"1,018,393 "
3003,Bond University ,2024,QLD,non-aligned,RTP,"2,244,753 "
2200,Central Queensland University,2024,QLD,RUN,RSP,"3,649,512 "
2200,Central Queensland University,2024,QLD,RUN,RTP,"4,260,945 "
3001,Charles Darwin University,2024,NT,non-aligned,RSP,"12,535,658 "
3001,Charles Darwin University,2024,NT,non-aligned,RTP,"10,170,682 "
3005,Charles Sturt University,2024,NSW,RUN,RSP,"3,181,092 "
3005,Charles Sturt University,2024,NSW,RUN,RTP,"4,899,349 "
2236,Curtin University,2024,WA,ATN,RSP,"23,721,482 "
2236,Curtin University,2024,WA,ATN,RTP,"30,736,270 "
3030,Deakin University,2024,VIC,ATN,RSP,"22,698,305 "
3030,Deakin University,2024,VIC,ATN,RTP,"30,037,103 "
2235,Edith Cowan University,2024,WA,non-aligned,RSP,"4,083,121 "
2235,Edith Cowan University,2024,WA,non-aligned,RTP,"7,021,835 "
2154,Federation University Australia,2024,VIC,RUN,RSP,"1,314,662 "
2154,Federation University Australia,2024,VIC,RUN,RTP,"2,971,820 "
3029,Flinders University,2024,SA,IRU,RSP,"19,232,564 "
3029,Flinders University,2024,SA,IRU,RTP,"19,713,567 "
3032,Griffith University,2024,QLD,IRU,RSP,"17,980,765 "
3032,Griffith University,2024,QLD,IRU,RTP,"28,270,010 "
1019,James Cook University,2024,QLD,IRU,RSP,"8,847,217 "
1019,James Cook University,2024,QLD,IRU,RTP,"12,198,540 "
3020,La Trobe University,2024,VIC,IRU,RSP,"16,358,152 "
3020,La Trobe University,2024,VIC,IRU,RTP,"21,227,058 "
3025,Macquarie University,2024,NSW,non-aligned,RSP,"18,900,193 "
3025,Macquarie University,2024,NSW,non-aligned,RTP,"32,626,464 "
3035,Monash University,2024,VIC,Go8,RSP,"116,166,795 "
3035,Monash University,2024,VIC,Go8,RTP,"122,798,840 "
1034,Murdoch University,2024,WA,IRU,RSP,"7,279,457 "
1034,Murdoch University,2024,WA,IRU,RTP,"11,561,091 "
3042,Queensland University of Technology,2024,QLD,non-aligned,RSP,"22,934,769 "
3042,Queensland University of Technology,2024,QLD,non-aligned,RTP,"33,921,139 "
3034,Royal Melbourne Institute of Technology,2024,VIC,ATN,RSP,"18,585,164 "
3034,Royal Melbourne Institute of Technology,2024,VIC,ATN,RTP,"30,396,426 "
3038,Southern Cross University,2024,NSW,RUN,RSP,"4,074,020 "
3038,Southern Cross University,2024,NSW,RUN,RTP,"4,997,742 "
2177,Swinburne University of Technology,2024,VIC,non-aligned,RSP,"10,636,873 "
2177,Swinburne University of Technology,2024,VIC,non-aligned,RTP,"19,342,184 "
3033,The Australian National University,2024,ACT,Go8,RSP,"66,784,824 "
3033,The Australian National University,2024,ACT,Go8,RTP,"58,237,230 "
3010,The University of Adelaide,2024,SA,Go8,RSP,"49,591,732 "
3010,The University of Adelaide,2024,SA,Go8,RTP,"53,241,854 "
3036,The University of Melbourne,2024,VIC,Go8,RSP,"126,305,288 "
3036,The University of Melbourne,2024,VIC,Go8,RTP,"117,206,808 "
3044,The University of Notre Dame Australia,2024,WA,non-aligned,RSP,"727,801 "
3044,The University of Notre Dame Australia,2024,WA,non-aligned,RTP,"2,116,002 "
3019,The University of Queensland,2024,QLD,Go8,RSP,"85,072,108 "
3019,The University of Queensland,2024,QLD,Go8,RTP,"96,646,012 "
3040,The University of Sydney,2024,NSW,Go8,RSP,"99,478,292 "
3040,The University of Sydney,2024,NSW,Go8,RTP,"102,046,959 "
1055,The University of Western Australia,2024,WA,Go8,RSP,"45,249,047 "
1055,The University of Western Australia,2024,WA,Go8,RTP,"43,932,830 "
4449,Torrens University Australia,2024,SA,non-aligned,RSP,"266,053 "
4449,Torrens University Australia,2024,SA,non-aligned,RTP,"387,107 "
2241,University of Canberra,2024,ACT,IRU,RSP,"3,653,438 "
2241,University of Canberra,2024,ACT,IRU,RTP,"4,673,318 "
4331,University of Divinity,2024,VIC,non-aligned,RSP,"497,673 "
4331,University of Divinity,2024,VIC,non-aligned,RTP,"673,016 "
3039,University of New England,2024,NSW,RUN,RSP,"8,303,055 "
3039,University of New England,2024,NSW,RUN,RTP,"10,271,411 "
3013,University of New South Wales,2024,NSW,Go8,RSP,"99,379,239 "
3013,University of New South Wales,2024,NSW,Go8,RTP,"105,060,012 "
3014,University of Newcastle,2024,NSW,ATN,RSP,"24,136,894 "
3014,University of Newcastle,2024,NSW,ATN,RTP,"31,145,614 "
3027,University of South Australia,2024,SA,ATN,RSP,"16,576,822 "
3027,University of South Australia,2024,SA,ATN,RTP,"17,306,833 "
2201,University of Southern Queensland,2024,QLD,RUN,RSP,"5,966,075 "
2201,University of Southern Queensland,2024,QLD,RUN,RTP,"10,225,314 "
3045,University of Tasmania,2024,TAS,non-aligned,RSP,"23,844,600 "
3045,University of Tasmania,2024,TAS,non-aligned,RTP,"27,645,641 "
3016,University of Technology Sydney,2024,NSW,ATN,RSP,"17,059,368 "
3016,University of Technology Sydney,2024,NSW,ATN,RTP,"30,025,624 "
3043,University of the Sunshine Coast,2024,QLD,RUN,RSP,"5,426,370 "
3043,University of the Sunshine Coast,2024,QLD,RUN,RTP,"6,488,994 "
1058,University of Wollongong,2024,NSW,non-aligned,RSP,"15,067,895 "
1058,University of Wollongong,2024,NSW,non-aligned,RTP,"25,561,863 "
3007,Victoria University,2024,VIC,non-aligned,RSP,"5,038,730 "
3007,Victoria University,2024,VIC,non-aligned,RTP,"6,499,964 "
3004,Western Sydney University,2024,NSW,IRU,RSP,"9,426,042 "
3004,Western Sydney University,2024,NSW,IRU,RTP,"16,496,385 "
3006,Australian Catholic University,2023,OTHER,non-aligned,RSP,"1,480,499 "
3006,Australian Catholic University,2023,OTHER,non-aligned,RTP,"2,876,087 "
2246,Batchelor Institute of Indigenous Tertiary Education,2023,NT,non-aligned,RSP,"174,423 "
2246,Batchelor Institute of Indigenous Tertiary Education,2023,NT,non-aligned,RTP,"174,602 "
3003,Bond University ,2023,QLD,non-aligned,RSP,"909,633 "
3003,Bond University ,2023,QLD,non-aligned,RTP,"1,864,695 "
2200,Central Queensland University,2023,QLD,RUN,RSP,"3,583,297 "
2200,Central Queensland University,2023,QLD,RUN,RTP,"3,840,243 "
3001,Charles Darwin University,2023,NT,non-aligned,RSP,"10,695,167 "
3001,Charles Darwin University,2023,NT,non-aligned,RTP,"8,539,898 "
3005,Charles Sturt University,2023,NSW,RUN,RSP,"2,504,839 "
3005,Charles Sturt University,2023,NSW,RUN,RTP,"4,642,645 "
2236,Curtin University,2023,WA,ATN,RSP,"21,013,797 "
2236,Curtin University,2023,WA,ATN,RTP,"29,670,302 "
3030,Deakin University,2023,VIC,ATN,RSP,"18,831,850 "
3030,Deakin University,2023,VIC,ATN,RTP,"23,997,700 "
2235,Edith Cowan University,2023,WA,non-aligned,RSP,"3,701,315 "
2235,Edith Cowan University,2023,WA,non-aligned,RTP,"6,580,496 "
2154,Federation University Australia,2023,VIC,RUN,RSP,"1,182,939 "
2154,Federation University Australia,2023,VIC,RUN,RTP,"2,974,444 "
3029,Flinders University,2023,SA,IRU,RSP,"13,998,751 "
3029,Flinders University,2023,SA,IRU,RTP,"16,850,703 "
3032,Griffith University,2023,QLD,IRU,RSP,"16,168,941 "
3032,Griffith University,2023,QLD,IRU,RTP,"26,006,458 "
1019,James Cook University,2023,QLD,IRU,RSP,"7,198,753 "
1019,James Cook University,2023,QLD,IRU,RTP,"10,432,319 "
3020,La Trobe University,2023,VIC,IRU,RSP,"15,368,239 "
3020,La Trobe University,2023,VIC,IRU,RTP,"17,964,869 "
3025,Macquarie University,2023,NSW,non-aligned,RSP,"17,199,403 "
3025,Macquarie University,2023,NSW,non-aligned,RTP,"31,331,018 "
3035,Monash University,2023,VIC,Go8,RSP,"101,809,297 "
3035,Monash University,2023,VIC,Go8,RTP,"107,450,028 "
1034,Murdoch University,2023,WA,IRU,RSP,"6,382,087 "
1034,Murdoch University,2023,WA,IRU,RTP,"9,700,041 "
3042,Queensland University of Technology,2023,QLD,non-aligned,RSP,"21,093,117 "
3042,Queensland University of Technology,2023,QLD,non-aligned,RTP,"31,692,976 "
3034,Royal Melbourne Institute of Technology,2023,VIC,ATN,RSP,"15,209,851 "
3034,Royal Melbourne Institute of Technology,2023,VIC,ATN,RTP,"27,264,714 "
3038,Southern Cross University,2023,NSW,RUN,RSP,"3,008,867 "
3038,Southern Cross University,2023,NSW,RUN,RTP,"4,129,550 "
2177,Swinburne University of Technology,2023,VIC,non-aligned,RSP,"9,410,130 "
2177,Swinburne University of Technology,2023,VIC,non-aligned,RTP,"15,728,868 "
3033,The Australian National University,2023,ACT,Go8,RSP,"59,255,431 "
3033,The Australian National University,2023,ACT,Go8,RTP,"52,476,862 "
3010,The University of Adelaide,2023,SA,Go8,RSP,"48,163,400 "
3010,The University of Adelaide,2023,SA,Go8,RTP,"50,193,228 "
3036,The University of Melbourne,2023,VIC,Go8,RSP,"119,891,805 "
3036,The University of Melbourne,2023,VIC,Go8,RTP,"114,471,132 "
3044,The University of Notre Dame Australia,2023,WA,non-aligned,RSP,"517,655 "
3044,The University of Notre Dame Australia,2023,WA,non-aligned,RTP,"2,222,326 "
3019,The University of Queensland,2023,QLD,Go8,RSP,"85,741,600 "
3019,The University of Queensland,2023,QLD,Go8,RTP,"94,870,189 "
3040,The University of Sydney,2023,NSW,Go8,RSP,"96,420,106 "
3040,The University of Sydney,2023,NSW,Go8,RTP,"95,933,704 "
1055,The University of Western Australia,2023,WA,Go8,RSP,"42,982,499 "
1055,The University of Western Australia,2023,WA,Go8,RTP,"42,064,772 "
4449,Torrens University Australia,2023,SA,non-aligned,RSP,"227,902 "
4449,Torrens University Australia,2023,SA,non-aligned,RTP,"208,714 "
2241,University of Canberra,2023,ACT,IRU,RSP,"3,350,252 "
2241,University of Canberra,2023,ACT,IRU,RTP,"4,001,021 "
4331,University of Divinity,2023,VIC,non-aligned,RSP,"460,093 "
4331,University of Divinity,2023,VIC,non-aligned,RTP,"513,984 "
3039,University of New England,2023,NSW,RUN,RSP,"7,978,371 "
3039,University of New England,2023,NSW,RUN,RTP,"9,929,354 "
3013,University of New South Wales,2023,NSW,Go8,RSP,"98,232,652 "
3013,University of New South Wales,2023,NSW,Go8,RTP,"97,780,933 "
3014,University of Newcastle,2023,NSW,ATN,RSP,"24,288,287 "
3014,University of Newcastle,2023,NSW,ATN,RTP,"30,662,349 "
3027,University of South Australia,2023,SA,ATN,RSP,"16,230,114 "
3027,University of South Australia,2023,SA,ATN,RTP,"16,956,684 "
2201,University of Southern Queensland,2023,QLD,RUN,RSP,"4,496,694 "
2201,University of Southern Queensland,2023,QLD,RUN,RTP,"8,665,604 "
3045,University of Tasmania,2023,TAS,non-aligned,RSP,"22,793,527 "
3045,University of Tasmania,2023,TAS,non-aligned,RTP,"26,684,857 "
3016,University of Technology Sydney,2023,NSW,ATN,RSP,"15,908,194 "
3016,University of Technology Sydney,2023,NSW,ATN,RTP,"28,541,184 "
3043,University of the Sunshine Coast,2023,QLD,RUN,RSP,"4,444,535 "
3043,University of the Sunshine Coast,2023,QLD,RUN,RTP,"5,545,472 "
1058,University of Wollongong,2023,NSW,non-aligned,RSP,"13,156,239 "
1058,University of Wollongong,2023,NSW,non-aligned,RTP,"23,545,862 "
3007,Victoria University,2023,VIC,non-aligned,RSP,"3,734,364 "
3007,Victoria University,2023,VIC,non-aligned,RTP,"6,635,317 "
3004,Western Sydney University,2023,NSW,IRU,RSP,"8,348,080 "
3004,Western Sydney University,2023,NSW,IRU,RTP,"15,943,858 "
3006,Australian Catholic University,2022,OTHER,non-aligned,RSP,"1,467,740 "
3006,Australian Catholic University,2022,OTHER,non-aligned,RTP,"3,120,749 "
2246,Batchelor Institute of Indigenous Tertiary Education,2022,NT,non-aligned,RSP,"133,720 "
2246,Batchelor Institute of Indigenous Tertiary Education,2022,NT,non-aligned,RTP,"209,801 "
3003,Bond University ,2022,QLD,non-aligned,RSP,"922,642 "
3003,Bond University ,2022,QLD,non-aligned,RTP,"1,544,813 "
2200,Central Queensland University,2022,QLD,RUN,RSP,"3,186,615 "
2200,Central Queensland University,2022,QLD,RUN,RTP,"3,688,488 "
3001,Charles Darwin University,2022,NT,non-aligned,RSP,"10,164,121 "
3001,Charles Darwin University,2022,NT,non-aligned,RTP,"8,041,855 "
3005,Charles Sturt University,2022,NSW,RUN,RSP,"2,163,952 "
3005,Charles Sturt University,2022,NSW,RUN,RTP,"4,489,624 "
2236,Curtin University,2022,WA,ATN,RSP,"20,944,933 "
2236,Curtin University,2022,WA,ATN,RTP,"29,273,950 "
3030,Deakin University,2022,VIC,ATN,RSP,"16,293,171 "
3030,Deakin University,2022,VIC,ATN,RTP,"20,839,807 "
2235,Edith Cowan University,2022,WA,non-aligned,RSP,"3,458,504 "
2235,Edith Cowan University,2022,WA,non-aligned,RTP,"6,411,545 "
2154,Federation University Australia,2022,VIC,RUN,RSP,"1,060,821 "
2154,Federation University Australia,2022,VIC,RUN,RTP,"2,572,241 "
3029,Flinders University,2022,SA,IRU,RSP,"11,794,585 "
3029,Flinders University,2022,SA,IRU,RTP,"15,217,026 "
3032,Griffith University,2022,QLD,IRU,RSP,"16,316,451 "
3032,Griffith University,2022,QLD,IRU,RTP,"25,154,439 "
1019,James Cook University,2022,QLD,IRU,RSP,"7,317,967 "
1019,James Cook University,2022,QLD,IRU,RTP,"11,195,924 "
3020,La Trobe University,2022,VIC,IRU,RSP,"15,987,398 "
3020,La Trobe University,2022,VIC,IRU,RTP,"18,453,725 "
3025,Macquarie University,2022,NSW,non-aligned,RSP,"17,036,142 "
3025,Macquarie University,2022,NSW,non-aligned,RTP,"30,316,330 "
3035,Monash University,2022,VIC,Go8,RSP,"97,239,184 "
3035,Monash University,2022,VIC,Go8,RTP,"102,424,908 "
1034,Murdoch University,2022,WA,IRU,RSP,"7,502,523 "
1034,Murdoch University,2022,WA,IRU,RTP,"9,827,392 "
3042,Queensland University of Technology,2022,QLD,non-aligned,RSP,"19,316,131 "
3042,Queensland University of Technology,2022,QLD,non-aligned,RTP,"29,068,532 "
3034,Royal Melbourne Institute of Technology,2022,VIC,ATN,RSP,"13,354,848 "
3034,Royal Melbourne Institute of Technology,2022,VIC,ATN,RTP,"24,817,631 "
3038,Southern Cross University,2022,NSW,RUN,RSP,"2,826,644 "
3038,Southern Cross University,2022,NSW,RUN,RTP,"3,326,464 "
2177,Swinburne University of Technology,2022,VIC,non-aligned,RSP,"8,544,644 "
2177,Swinburne University of Technology,2022,VIC,non-aligned,RTP,"14,242,555 "
3033,The Australian National University,2022,ACT,Go8,RSP,"61,564,969 "
3033,The Australian National University,2022,ACT,Go8,RTP,"53,648,762 "
3010,The University of Adelaide,2022,SA,Go8,RSP,"40,793,713 "
3010,The University of Adelaide,2022,SA,Go8,RTP,"46,169,968 "
3036,The University of Melbourne,2022,VIC,Go8,RSP,"111,118,253 "
3036,The University of Melbourne,2022,VIC,Go8,RTP,"111,813,256 "
3044,The University of Notre Dame Australia,2022,WA,non-aligned,RSP,"480,706 "
3044,The University of Notre Dame Australia,2022,WA,non-aligned,RTP,"1,702,450 "
3019,The University of Queensland,2022,QLD,Go8,RSP,"91,465,589 "
3019,The University of Queensland,2022,QLD,Go8,RTP,"100,217,285 "
3040,The University of Sydney,2022,NSW,Go8,RSP,"88,217,569 "
3040,The University of Sydney,2022,NSW,Go8,RTP,"90,173,615 "
1055,The University of Western Australia,2022,WA,Go8,RSP,"42,820,477 "
1055,The University of Western Australia,2022,WA,Go8,RTP,"42,513,528 "
4449,Torrens University Australia,2022,SA,non-aligned,RSP,"209,439 "
4449,Torrens University Australia,2022,SA,non-aligned,RTP,"193,670 "
2241,University of Canberra,2022,ACT,IRU,RSP,"4,076,672 "
2241,University of Canberra,2022,ACT,IRU,RTP,"4,366,091 "
4331,University of Divinity,2022,VIC,non-aligned,RSP,"468,926 "
4331,University of Divinity,2022,VIC,non-aligned,RTP,"636,254 "
3039,University of New England,2022,NSW,RUN,RSP,"8,147,829 "
3039,University of New England,2022,NSW,RUN,RTP,"9,261,262 "
3013,University of New South Wales,2022,NSW,Go8,RSP,"97,163,618 "
3013,University of New South Wales,2022,NSW,Go8,RTP,"96,402,360 "
3014,University of Newcastle,2022,NSW,ATN,RSP,"23,705,205 "
3014,University of Newcastle,2022,NSW,ATN,RTP,"27,539,140 "
3027,University of South Australia,2022,SA,ATN,RSP,"16,033,125 "
3027,University of South Australia,2022,SA,ATN,RTP,"15,858,732 "
2201,University of Southern Queensland,2022,QLD,RUN,RSP,"4,439,353 "
2201,University of Southern Queensland,2022,QLD,RUN,RTP,"7,807,530 "
3045,University of Tasmania,2022,TAS,non-aligned,RSP,"19,931,136 "
3045,University of Tasmania,2022,TAS,non-aligned,RTP,"25,859,741 "
3016,University of Technology Sydney,2022,NSW,ATN,RSP,"16,601,301 "
3016,University of Technology Sydney,2022,NSW,ATN,RTP,"25,973,884 "
3043,University of the Sunshine Coast,2022,QLD,RUN,RSP,"5,170,986 "
3043,University of the Sunshine Coast,2022,QLD,RUN,RTP,"6,211,468 "
1058,University of Wollongong,2022,NSW,non-aligned,RSP,"14,169,578 "
1058,University of Wollongong,2022,NSW,non-aligned,RTP,"22,728,971 "
3007,Victoria University,2022,VIC,non-aligned,RSP,"3,046,763 "
3007,Victoria University,2022,VIC,non-aligned,RTP,"6,504,162 "
3004,Western Sydney University,2022,NSW,IRU,RSP,"8,170,072 "
3004,Western Sydney University,2022,NSW,IRU,RTP,"14,151,147 "
3006,Australian Catholic University,2021,OTHER,non-aligned,RSP,"4,930,485 "
3006,Australian Catholic University,2021,OTHER,non-aligned,RTP,"3,968,872 "
2246,Batchelor Institute of Indigenous Tertiary Education,2021,NT,non-aligned,RSP,"295,414 "
2246,Batchelor Institute of Indigenous Tertiary Education,2021,NT,non-aligned,RTP,"139,526 "
3003,Bond University ,2021,QLD,non-aligned,RSP,"2,621,800 "
3003,Bond University ,2021,QLD,non-aligned,RTP,"1,846,509 "
2200,Central Queensland University,2021,QLD,RUN,RSP,"5,848,951 "
2200,Central Queensland University,2021,QLD,RUN,RTP,"3,679,941 "
3001,Charles Darwin University,2021,NT,non-aligned,RSP,"21,296,809 "
3001,Charles Darwin University,2021,NT,non-aligned,RTP,"7,766,524 "
3005,Charles Sturt University,2021,NSW,RUN,RSP,"6,259,674 "
3005,Charles Sturt University,2021,NSW,RUN,RTP,"5,998,381 "
2236,Curtin University,2021,WA,ATN,RSP,"44,273,982 "
2236,Curtin University,2021,WA,ATN,RTP,"27,825,644 "
3030,Deakin University,2021,VIC,ATN,RSP,"31,893,142 "
3030,Deakin University,2021,VIC,ATN,RTP,"20,453,826 "
2235,Edith Cowan University,2021,WA,non-aligned,RSP,"7,399,283 "
2235,Edith Cowan University,2021,WA,non-aligned,RTP,"6,679,659 "
2154,Federation University Australia,2021,VIC,RUN,RSP,"2,580,270 "
2154,Federation University Australia,2021,VIC,RUN,RTP,"2,273,755 "
3029,Flinders University,2021,SA,IRU,RSP,"23,074,252 "
3029,Flinders University,2021,SA,IRU,RTP,"15,336,016 "
3032,Griffith University,2021,QLD,IRU,RSP,"35,660,253 "
3032,Griffith University,2021,QLD,IRU,RTP,"25,290,058 "
1019,James Cook University,2021,QLD,IRU,RSP,"20,533,182 "
1019,James Cook University,2021,QLD,IRU,RTP,"13,828,630 "
3020,La Trobe University,2021,VIC,IRU,RSP,"34,208,263 "
3020,La Trobe University,2021,VIC,IRU,RTP,"19,474,602 "
3025,Macquarie University,2021,NSW,non-aligned,RSP,"35,156,455 "
3025,Macquarie University,2021,NSW,non-aligned,RTP,"30,649,639 "
3035,Monash University,2021,VIC,Go8,RSP,"191,601,823 "
3035,Monash University,2021,VIC,Go8,RTP,"95,438,167 "
1034,Murdoch University,2021,WA,IRU,RSP,"16,617,117 "
1034,Murdoch University,2021,WA,IRU,RTP,"10,246,001 "
3042,Queensland University of Technology,2021,QLD,non-aligned,RSP,"42,026,223 "
3042,Queensland University of Technology,2021,QLD,non-aligned,RTP,"30,830,953 "
3034,Royal Melbourne Institute of Technology,2021,VIC,ATN,RSP,"25,916,058 "
3034,Royal Melbourne Institute of Technology,2021,VIC,ATN,RTP,"22,010,716 "
3038,Southern Cross University,2021,NSW,RUN,RSP,"5,964,630 "
3038,Southern Cross University,2021,NSW,RUN,RTP,"4,119,561 "
2177,Swinburne University of Technology,2021,VIC,non-aligned,RSP,"17,513,339 "
2177,Swinburne University of Technology,2021,VIC,non-aligned,RTP,"12,706,919 "
3033,The Australian National University,2021,ACT,Go8,RSP,"137,960,149 "
3033,The Australian National University,2021,ACT,Go8,RTP,"59,495,907 "
3010,The University of Adelaide,2021,SA,Go8,RSP,"81,891,083 "
3010,The University of Adelaide,2021,SA,Go8,RTP,"46,850,222 "
3036,The University of Melbourne,2021,VIC,Go8,RSP,"214,514,060 "
3036,The University of Melbourne,2021,VIC,Go8,RTP,"106,567,611 "
3044,The University of Notre Dame Australia,2021,WA,non-aligned,RSP,"1,129,812 "
